path	count	total(ms)	mean(ms)	min(ms)	max(ms)	query_count/request_count	query
GET /api/player/player/:player_id	103037	6,879,620.018	66.768	0.124	932.458	-	-
- sql total time	-	37.288	-	-	-	-	-
-	36	34.030	0.945	0.181	22.913	0.000	Connect 
-	36	3.258	0.090	0.060	0.152	0.000	"QueryContext SELECT player_score.score, competition.title, competition.created_at, competition.id FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			ORDER BY competition.created_at ASC
			"
GET /api/player/competition/:competition_id/ranking	44864	2,808,785.332	62.606	0.131	920.183	-	-
- sql total time	-	0.415	-	-	-	-	-
-	1	0.292	0.292	0.292	0.292	0.000	Connect 
-	1	0.100	0.100	0.100	0.100	0.000	"QueryContext SELECT player_score.*, display_name FROM player_score INNER JOIN (
			SELECT player_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND competition_id = ? GROUP BY player_id
		) AS c ON (
			player_score.player_id = c.player_id
			AND player_score.row_num = c.row_num
			AND player_score.tenant_id = ? AND player_score.competition_id = ?
		)
		INNER JOIN player ON (
			player.id = player_score.player_id
		)
		ORDER BY player_score.score DESC, player_score.row_num ASC
		"
-	1	0.022	0.022	0.022	0.022	0.000	QueryContext SELECT * FROM competition WHERE id = ?
GET /api/player/competitions	6216	280,074.432	45.057	0.347	876.816	-	-
- sql total time	-	1,830.211	-	-	-	-	-
-	1269	1,794.551	1.414	0.114	165.599	0.204	Connect 
-	1269	35.109	0.027	0.012	3.035	0.204	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
-	1	0.551	0.551	0.551	0.551	0.000	QueryContext SELECT * FROM tenant WHERE name = ?
POST /api/organizer/competition/:competition_id/finish	1011	106,970.523	105.806	1.145	1,014.615	-	-
- sql total time	-	18,168.286	-	-	-	-	-
-	206	8,407.415	40.812	0.516	375.850	0.203	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	206	7,825.243	37.986	1.301	389.987	0.203	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?)
-	206	1,714.475	8.322	4.678	140.947	0.203	ExecContext UPDATE competition SET finished_at = ?, updated_at = ? WHERE id = ?
-	207	209.820	1.013	0.121	113.012	0.204	Connect 
-	206	11.330	0.055	0.020	0.215	0.203	QueryContext SELECT DISTINCT(player_id) FROM player_score WHERE tenant_id = ? AND competition_id = ?
GET /api/organizer/billing	984	62,465.140	63.480	0.517	773.541	-	-
- sql total time	-	10,344.251	-	-	-	-	-
-	202	8,952.563	44.319	0.503	361.435	0.205	QueryContext SELECT * FROM billing WHERE tenant_id=?
-	205	1,385.293	6.757	0.127	509.888	0.208	Connect 
-	202	5.839	0.028	0.013	0.078	0.205	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
-	1	0.554	0.554	0.554	0.554	0.001	QueryContext SELECT * FROM tenant WHERE name = ?
POST /api/organizer/competition/:competition_id/score	1073	52,088.081	48.544	0.666	671.096	-	-
- sql total time	-	1,264.027	-	-	-	-	-
-	218	993.330	4.556	0.506	217.163	0.203	ExecContext INSERT INTO player_score (id, tenant_id, player_id, competition_id, score, row_num, created_at, updated_at) VALUES (:id, :tenant_id, :player_id, :competition_id, :score, :row_num, :created_at, :updated_at)
-	218	168.518	0.773	0.030	14.516	0.203	ExecContext DELETE FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	218	72.464	0.332	0.138	11.956	0.203	Connect 
-	218	25.855	0.118	0.008	5.395	0.203	BeginTx 
-	305	3.858	0.012	0.006	0.099	0.284	QueryContext SELECT * FROM player WHERE id = ?
POST /api/organizer/competitions/add	1067	48,975.222	45.899	0.119	705.270	-	-
- sql total time	-	2,153.899	-	-	-	-	-
-	218	2,051.734	9.411	4.690	152.706	0.204	ExecContext INSERT INTO competition (id, tenant_id, title, finished_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?)
-	218	100.865	0.462	0.113	14.614	0.204	Connect 
-	2	1.299	0.649	0.615	0.684	0.001	QueryContext SELECT * FROM tenant WHERE name = ?
GET /api/organizer/players	1061	48,946.405	46.132	1.227	912.278	-	-
- sql total time	-	589.447	-	-	-	-	-
-	15	500.743	33.382	0.528	278.406	0.014	QueryContext SELECT * FROM tenant WHERE name = ?
-	220	81.132	0.368	0.120	8.525	0.207	Connect 
-	220	7.571	0.034	0.012	1.059	0.207	QueryContext SELECT * FROM player WHERE tenant_id=? ORDER BY created_at DESC
POST /initialize	1	12,201.790	12,201.790	12,201.790	12,201.790	-	-
- sql total time	-	398.352	-	-	-	-	-
-	617	340.062	0.551	0.464	1.473	617.000	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	1	26.554	26.554	26.554	26.554	1.000	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?),(?, ?, ?, ?, ?)
-	101	15.737	0.155	0.121	1.630	101.000	Connect 
-	617	13.939	0.022	0.018	0.200	617.000	QueryContext SELECT DISTINCT(player_id) FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	100	1.374	0.013	0.010	0.032	100.000	QueryContext SELECT * FROM competition WHERE tenant_id=?
-	1	0.684	0.684	0.684	0.684	1.000	QueryContext SELECT * FROM tenant ORDER BY id DESC
GET /api/admin/tenants/billing	1033	7,368.490	7.133	0.675	388.881	-	-
- sql total time	-	7,054.302	-	-	-	-	-
-	960	6,401.939	6.668	0.521	388.405	0.929	"QueryContext SELECT tenant.id, tenant.name, tenant.display_name, y.yen
		FROM tenant,
			LATERAL (
				SELECT
					SUM(yen) AS yen
				FROM
					billing
				WHERE
					billing.tenant_id = tenant.id
				GROUP BY
					tenant_id
			) AS y
		WHERE id < ? ORDER BY id DESC LIMIT 10"
-	73	391.164	5.358	0.672	139.132	0.070	"QueryContext SELECT tenant.id, tenant.name, tenant.display_name, y.yen
		FROM tenant,
			LATERAL (
				SELECT
					SUM(yen) AS yen
				FROM
					billing
				WHERE
					billing.tenant_id = tenant.id
				GROUP BY
					tenant_id
			) AS y
		ORDER BY id DESC LIMIT 10"
-	2	261.198	130.599	2.084	259.114	0.001	Connect 
POST /api/admin/tenants/add	83	4,282.573	51.597	0.145	591.397	-	-
- sql total time	-	1,143.545	-	-	-	-	-
-	79	1,139.648	14.425	2.253	247.477	0.951	ExecContext INSERT INTO tenant (name, display_name, created_at, updated_at) VALUES (?, ?, ?, ?)
-	1	3.896	3.896	3.896	3.896	0.012	Connect 
POST /api/organizer/players/add	92	3,155.009	34.293	7.866	472.690	-	-
- sql total time	-	648.525	-	-	-	-	-
-	76	523.151	6.883	0.507	249.174	0.826	QueryContext SELECT * FROM tenant WHERE name = ?
-	15	119.851	7.990	6.140	11.949	0.163	ExecContext INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	15	3.611	0.240	0.129	0.315	0.163	Connect INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	1	1.910	1.910	1.910	1.910	0.010	Connect 
POST /api/organizer/player/:player_id/disqualified	12	647.949	53.995	1.701	310.671	-	-
- sql total time	-	25.374	-	-	-	-	-
-	2	25.030	12.515	5.312	19.717	0.166	ExecContext UPDATE player SET is_disqualified = ?, updated_at = ? WHERE id = ?
-	2	0.344	0.172	0.131	0.212	0.166	Connect 
GET /api/organizer/competitions	1	0.973	0.973	0.973	0.973	-	-
unknown	0	0.000	0.000	0.000	0.000	-	-
- sql total time	-	24,273.790	-	-	-	-	-
