path	count	total(ms)	mean(ms)	min(ms)	max(ms)	query_count/request_count	query
GET /api/player/player/:player_id	59737	31,724.535	0.531	0.019	177.575	-	-
- sql total time	-	6,299.615	-	-	-	-	-
-	9069	5,114.929	0.564	0.102	173.564	0.151	Connect 
-	9069	1,184.685	0.130	0.042	21.368	0.151	"QueryContext SELECT
				GROUP_CONCAT(player_score.score) AS scores,
				GROUP_CONCAT(competition.title) AS titles,
				GROUP_CONCAT(competition.created_at) AS created_ats,
				GROUP_CONCAT(competition.id) AS ids
			FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			GROUP BY player_score.player_id
			"
POST /api/organizer/competition/:competition_id/finish	597	22,789.349	38.173	9.920	132.951	-	-
- sql total time	-	8,256.884	-	-	-	-	-
-	597	4,760.370	7.973	4.212	40.395	1.000	ExecContext UPDATE competition SET finished_at = ?, updated_at = ? WHERE id = ?
-	597	2,394.429	4.010	0.909	48.123	1.000	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?)
-	597	631.682	1.058	0.202	32.170	1.000	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	600	437.550	0.729	0.109	43.279	1.005	Connect 
-	597	32.852	0.055	0.017	4.423	1.000	QueryContext SELECT DISTINCT(player_id) FROM player_score WHERE tenant_id = ? AND competition_id = ?
POST /api/organizer/competition/:competition_id/score	637	10,743.758	16.866	7.449	229.745	-	-
- sql total time	-	4,015.119	-	-	-	-	-
-	637	2,795.270	4.388	0.358	66.595	1.000	ExecContext INSERT INTO player_score (id, tenant_id, player_id, competition_id, score, row_num, created_at, updated_at) VALUES (:id, :tenant_id, :player_id, :competition_id, :score, :row_num, :created_at, :updated_at)
-	637	710.799	1.115	0.027	56.523	1.000	ExecContext DELETE FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	637	451.105	0.708	0.124	49.095	1.000	Connect 
-	637	46.369	0.072	0.006	12.447	1.000	BeginTx 
-	767	11.573	0.015	0.006	1.676	1.204	QueryContext SELECT * FROM player WHERE id = ?
GET /api/player/competition/:competition_id/ranking	26232	7,917.333	0.301	0.018	170.145	-	-
- sql total time	-	1,206.091	-	-	-	-	-
-	197	1,014.778	5.151	0.126	41.429	0.007	Connect 
-	194	111.830	0.576	0.046	35.571	0.007	"QueryContext SELECT player_score.*, display_name FROM player_score INNER JOIN (
			SELECT player_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND competition_id = ? GROUP BY player_id
		) AS c ON (
			player_score.player_id = c.player_id
			AND player_score.row_num = c.row_num
			AND player_score.tenant_id = ? AND player_score.competition_id = ?
		)
		INNER JOIN player ON (
			player.id = player_score.player_id
		)
		ORDER BY player_score.score DESC, player_score.row_num ASC
		"
-	62	79.346	1.279	0.173	44.399	0.002	QueryContext SELECT * FROM tenant WHERE id = ?
-	5	0.102	0.020	0.014	0.038	0.000	QueryContext SELECT * FROM competition WHERE id = ?
-	2	0.033	0.016	0.016	0.017	0.000	QueryContext SELECT * FROM player WHERE id = ?
GET /api/player/competitions	3717	6,577.613	1.769	0.053	244.806	-	-
- sql total time	-	4,932.204	-	-	-	-	-
-	3711	4,824.378	1.300	0.103	244.611	0.998	Connect 
-	3710	107.805	0.029	0.011	3.254	0.998	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
-	1	0.021	0.021	0.021	0.021	0.000	QueryContext SELECT * FROM player WHERE id = ?
POST /api/organizer/competitions/add	638	5,724.604	8.972	4.476	66.900	-	-
- sql total time	-	5,567.629	-	-	-	-	-
-	638	5,230.966	8.199	4.205	66.478	1.000	ExecContext INSERT INTO competition (id, tenant_id, title, finished_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?)
-	638	336.663	0.527	0.113	15.354	1.000	Connect 
POST /initialize2	1	2,682.399	2,682.399	2,682.399	2,682.399	-	-
GET /api/organizer/players	639	2,459.657	3.849	0.970	66.017	-	-
- sql total time	-	453.339	-	-	-	-	-
-	639	435.884	0.682	0.116	20.860	1.000	Connect 
-	639	17.455	0.027	0.013	2.129	1.000	QueryContext SELECT * FROM player WHERE tenant_id=? ORDER BY created_at DESC
POST /api/admin/tenants/add2/:tenant_id	45	1,632.106	36.269	18.400	355.593	-	-
GET /api/organizer/billing	587	1,596.232	2.719	0.503	53.703	-	-
- sql total time	-	1,151.083	-	-	-	-	-
-	587	810.939	1.381	0.175	41.560	1.000	QueryContext SELECT * FROM billing WHERE tenant_id=?
-	587	323.152	0.550	0.115	24.153	1.000	Connect 
-	587	16.991	0.028	0.012	1.418	1.000	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
POST /api/organizer/players/add	59	772.712	13.096	6.610	58.114	-	-
- sql total time	-	703.786	-	-	-	-	-
-	59	687.820	11.657	5.538	50.227	1.000	ExecContext INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
-	59	15.965	0.270	0.124	1.664	1.000	Connect INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
